iter	Passed	Remaining
725	6783	2559
726	6792	2550
727	6801	2541
728	6810	2531
729	6819	2522
730	6828	2512
731	6837	2503
732	6845	2493
733	6854	2484
734	6864	2474
735	6873	2465
736	6882	2455
737	6890	2446
738	6900	2437
739	6909	2427
740	6919	2418
741	6928	2409
742	6937	2399
743	6947	2390
744	6956	2380
745	6965	2371
746	6974	2362
747	6982	2352
748	6991	2342
749	7000	2333
750	7008	2323
751	7017	2314
752	7026	2304
753	7035	2295
754	7044	2286
755	7053	2276
756	7063	2267
757	7072	2257
758	7082	2248
759	7090	2239
760	7099	2229
761	7108	2220
762	7118	2211
763	7128	2201
764	7145	2195
765	7156	2186
766	7167	2177
767	7175	2167
768	7184	2158
769	7193	2148
770	7202	2139
771	7211	2129
772	7220	2120
773	7230	2111
774	7238	2101
775	7248	2092
776	7257	2082
777	7266	2073
778	7274	2063
779	7283	2054
780	7293	2045
781	7302	2035
782	7312	2026
783	7322	2017
784	7330	2007
785	7339	1998
786	7348	1988
787	7357	1979
788	7366	1970
789	7375	1960
790	7383	1950
791	7392	1941
792	7401	1931
793	7411	1922
794	7421	1913
795	7431	1904
796	7441	1895
797	7449	1885
798	7459	1876
799	7469	1867
800	7478	1858
801	7487	1848
802	7497	1839
803	7506	1829
804	7515	1820
805	7523	1810
806	7533	1801
807	7543	1792
808	7553	1783
809	7562	1773
810	7571	1764
811	7580	1755
812	7589	1745
813	7598	1736
814	7607	1726
815	7616	1717
816	7625	1708
817	7634	1698
818	7642	1689
819	7651	1679
820	7661	1670
821	7670	1661
822	7679	1651
823	7688	1642
824	7697	1632
825	7706	1623
826	7714	1613
827	7723	1604
828	7732	1595
829	7741	1585
830	7749	1576
831	7758	1566
832	7767	1557
833	7776	1547
834	7786	1538
835	7794	1529
836	7804	1519
837	7813	1510
838	7822	1501
839	7831	1491
840	7840	1482
841	7849	1472
842	7859	1463
843	7868	1454
844	7878	1445
845	7887	1435
846	7897	1426
847	7906	1417
848	7916	1407
849	7927	1398
850	7936	1389
851	7944	1380
852	7953	1370
853	7962	1361
854	7970	1351
855	7980	1342
856	7989	1333
857	7999	1323
858	8007	1314
859	8017	1305
860	8025	1295
861	8035	1286
862	8043	1276
863	8052	1267
864	8061	1258
865	8070	1248
866	8079	1239
867	8089	1230
868	8098	1220
869	8107	1211
870	8116	1202
871	8125	1192
872	8134	1183
873	8143	1174
874	8152	1164
875	8162	1155
876	8171	1146
877	8179	1136
878	8188	1127
879	8197	1117
880	8206	1108
881	8216	1099
882	8225	1089
883	8235	1080
884	8244	1071
885	8253	1062
886	8262	1052
887	8272	1043
888	8280	1033
889	8289	1024
890	8298	1015
891	8308	1005
892	8316	996
893	8325	987
894	8333	977
895	8343	968
896	8352	959
897	8361	949
898	8370	940
899	8379	931
900	8388	921
901	8396	912
902	8405	902
903	8414	893
904	8423	884
905	8432	874
906	8441	865
907	8451	856
908	8460	846
909	8469	837
910	8479	828
911	8489	819
912	8498	809
913	8507	800
914	8516	791
915	8526	781
916	8537	772
917	8546	763
918	8555	754
919	8564	744
920	8573	735
921	8583	726
922	8592	716
923	8601	707
924	8610	698
925	8619	688
926	8628	679
927	8638	670
928	8647	660
929	8655	651
930	8664	642
931	8673	632
932	8682	623
933	8691	614
934	8701	604
935	8710	595
936	8719	586
937	8728	576
938	8737	567
939	8746	558
940	8756	549
941	8765	539
942	8774	530
943	8783	521
944	8791	511
945	8800	502
946	8809	493
947	8818	483
948	8827	474
949	8836	465
950	8845	455
951	8854	446
952	8863	437
953	8871	427
954	8880	418
955	8888	409
956	8897	399
957	8906	390
958	8915	381
959	8925	371
960	8934	362
961	8943	353
962	8952	343
963	8961	334
964	8970	325
965	8979	316
966	8988	306
967	8997	297
968	9005	288
969	9014	278
970	9024	269
971	9034	260
972	9043	250
973	9051	241
974	9060	232
975	9069	223
976	9078	213
977	9087	204
978	9096	195
979	9105	185
980	9115	176
981	9124	167
982	9132	157
983	9142	148
984	9151	139
985	9160	130
986	9170	120
987	9179	111
988	9188	102
989	9197	92
990	9207	83
991	9216	74
992	9226	65
993	9235	55
994	9244	46
995	9253	37
996	9263	27
997	9272	18
998	9282	9
999	9291	0
